Date,Open,High,Low,Volume,Close
3/10/2023,84.47,85.45,81.63,70273560,82.67
3/9/2023,85.29,87.81,83.59,79496690,84.03
3/8/2023,82.79,85.77,82.28,69529840,85.37
3/7/2023,81.07,84.85,80.665,70959010,82.11
3/6/2023,82.03,83.2986,81.04,54541280,81.16
3/3/2023,80.4,81.63,79.34,54536220,81.52
3/2/2023,77.57,80.92,76.65,60185880,80.44
3/1/2023,78.55,80.2869,77.8813,44265980,78.29
2/28/2023,77.872,80.14,77.42,44220140,78.58
2/27/2023,79.64,80.12,78.53,45617300,78.77
2/24/2023,77.75,78.81,76.94,46700010,78.09
2/23/2023,80.63,81.79,77.965,76391340,79.75
2/22/2023,76.93,78.1299,75.9201,50286800,76.61
2/21/2023,77.15,78.455,76.45,44045640,76.77
2/17/2023,79.6,79.6498,77.37,47826600,78.5
2/16/2023,82.98,83.35,80.05,57755170,80.08
2/15/2023,85.1,85.89,83.32,46483150,85.18
2/14/2023,82.7,86.185,81.7672,55979650,85.95
2/13/2023,81.57,84.15,80.9,45400010,83.13
2/10/2023,82.29,82.71,80.47,49332600,81.48
2/9/2023,85.88,86.67,82.76,46525400,83.21
2/8/2023,85.88,88,84.54,54140450,84.69
2/7/2023,84.32,86.25,82.52,65291910,85.91
2/6/2023,84.63,86.28,83.224,53008890,83.68
2/3/2023,86.655,88.8014,85.83,66557820,86.09
2/2/2023,84.29,88.9388,83.2,97762090,88.31
2/1/2023,78.47,85.48,77.88,152548200,84.64
1/31/2023,72.26,75.2,72.03,71669110,75.15
1/30/2023,74.23,74.64,72.4,48105240,72.45
1/27/2023,73.7,76.74,73.49,58118610,75.4
1/26/2023,76.5,77.0798,74.28,49583950,75.16
1/25/2023,72.9,75.12,72.09,49932600,74.91
1/24/2023,73.75,75.6412,73.42,60822610,74.7
1/23/2023,72.225,76.59,71.54,84293200,76.53
1/20/2023,68.01,70.13,67.45,47757590,70.07
1/19/2023,68.975,69.2536,67.265,47189850,67.71
1/18/2023,71.87,72.78,70.5,39538730,70.53
1/17/2023,70.87,72.66,70.653,42621340,71.59
1/13/2023,69.84,71.1,69.23,45757360,71
1/12/2023,70.07,71.65,67.18,70066160,70.8
1/11/2023,68.39,69.13,67.2201,44470060,69.06
1/10/2023,66.67,68.15,66.56,41149630,68.05
1/9/2023,66.22,69.32,65.67,69741260,67.24
1/6/2023,63.145,64.3,60.05,70161340,63.96
1/5/2023,64.15,64.35,62.3,46159550,62.33
1/4/2023,65,65.79,63.31,47477140,64.66
1/3/2023,65.998,66.88,63.59,46851840,64.02
12/30/2022,63.77,64.82,63.1437,37126980,64.77
12/29/2022,63.635,65.18,63.06,41428480,64.82
12/28/2022,62.54,63.54,61.96,39526480,62.57
12/27/2022,63.87,64.28,62.97,36085980,63.27
12/23/2022,63.11,64.66,62.72,45923000,64.52
12/22/2022,66.08,66.31,62.2601,73917670,63.86
12/21/2022,65.43,67.845,65.21,44167580,67.68
12/20/2022,63.76,66.06,63.52,52431260,65.05
12/19/2022,65.12,65.59,63.71,46246910,64.59
12/16/2022,66.25,67.19,64.8,62438570,65.41
12/15/2022,67.604,68.21,66.12,58557050,66.53
12/14/2022,70.93,72,68.32,67277980,68.93
12/13/2022,74.87,75.21,70.66,72458040,71.65
12/12/2022,68.54,70.67,67.53,60968340,70.67
12/9/2022,69.49,70.67,68.52,59058320,68.59
12/8/2022,70.14,71.225,69,56734100,70.47
12/7/2022,69.53,71.37,69.28,59180110,70.14
12/6/2022,73.08,73.3911,69.4,64965240,70.27
12/5/2022,74.54,75.17,72.82,47022190,73.62
12/2/2022,75.05,76.28,73.65,64377180,74.98
12/1/2022,78.31,79.23,76.44,59833350,77.48
11/30/2022,73.38,77.7,72.8131,88468440,77.63
11/29/2022,73.62,74.4899,72.78,51846450,73.39
11/28/2022,73.81,75.4699,72.57,45448320,73.19
11/25/2022,75.67,76.0393,74.7495,26018910,75.14
11/23/2022,75.49,78.22,75.3,81623630,76.4
11/22/2022,72.72,75.33,72.1091,55450160,75.25
11/21/2022,72.21,72.98,71.57,51536350,72.46
11/18/2022,75.07,75.3499,72.18,73223210,73.57
11/17/2022,70.56,74.38,70.16,82320830,73.9
11/16/2022,73.655,74.8268,71.925,79968000,72.7
11/15/2022,77.26,79.16,75.39,108946300,76.37
11/14/2022,75.22,75.25,72.67,108892800,73.53
11/11/2022,69.58,73.32,68.29,111709500,72.37
11/10/2022,64.3,68.8,63.62,107996300,68.47
11/9/2022,62.28,63.05,59.8,62940340,59.92
11/8/2022,64.09,64.96,62.3678,75938050,63.85
